Number,Name,Price,Amplitude,Volume,MeanPrice,RSI,MA_top_parm,MA_buttom_parm,Trend,BBand_parm,BBand_wide
8150,南茂,22.6,7.53%,21677.0,22.60129549438776,81.45539%,1.4622859472682794,1.0377140527317206,Bull Only,2.253,0.3390194324158164
6456,GIS-KY,131.5,6.41%,9837.0,133.67775011549847,22.10688%,1.1070397111913357,1.3929602888086643,Bull&Bear,2.141,2.005166251732477
2492,華新科,234.5,6.13%,30094.0,241.78906604130768,32.35692%,1.1752070082803312,1.3247929917196688,Bull&Bear,2.113,3.626835990619615
2367,燿華,16.65,5.88%,21506.0,17.207688211119304,43.06127%,1.032456861133936,1.467543138866064,Bear Only,2.088,0.25811532316678953
3026,禾伸堂,144.0,5.84%,10114.0,147.18008523054402,26.29995%,1.1275626423690206,1.3724373576309796,Bull&Bear,2.084,2.20770127845816
3406,玉晶光,313.0,5.81%,7603.0,317.4370660515061,23.67887%,1.0476009139375475,1.4523990860624525,Bear Only,2.081,4.7615559907725915
4426,利勤,51.9,5.66%,12411.0,53.0876587802846,75.78085%,1.2006037321624587,1.2993962678375413,Bull&Bear,2.066,0.796314881704269
2478,大毅,67.7,5.13%,8421.0,69.1969238898124,37.80928%,1.2526434195725535,1.2473565804274465,Bull&Bear,2.013,1.037953858347186
2327,國巨,501.0,5.07%,15716.0,511.65346312250216,24.63097%,1.0684330918795273,1.4315669081204727,Bear Only,2.007,7.674801946837532
2390,云辰,13.1,5.05%,20904.0,13.187427924258836,72.53219%,1.31125,1.18875,Bull&Bear,2.005,0.19781141886388254
